Time,Susceptible,Incubating,Contagious,Recovered,Total population,Field 6,Expected poulation growth (days-1),Field 8,Field 9
164.09,2596186.67116674,53679.38838997,7555.82928740,24048.38754265,2681470.27638677,,,,
164.70,2591728.03833310,55808.97304348,7858.24373941,25041.51299603,2680436.76811202,,,,
165.31,2587097.29280720,58016.54927984,8171.95711321,26074.38729474,2679360.18649499,,,,
165.92,2582288.52685236,60304.43405017,8497.32442234,27148.49555001,2678238.78087487,,,,
166.53,2577295.69069422,62674.96738200,8834.70614074,28265.36953543,2677070.73375239,,,,
167.14,2572112.59434072,65130.50817341,9184.46775118,29426.58840469,2675854.15867000,,,,
167.75,2566732.90997246,67673.42951506,9546.97923314,30633.77934991,2674587.09807057,,,,
168.36,2561150.17494971,70306.11351182,9922.61448583,31888.61819269,2673267.52114004,,,,
168.97,2555357.79548371,73030.94557501,10311.75068213,33192.82989931,2671893.32164015,,,,
169.58,2549349.05102205,75850.30815645,10714.76754897,34548.18901103,2670462.31573850,,,,
170.19,2543117.09939880,78766.57389546,11132.04656978,35956.51997975,2668972.23984379,,,,
170.80,2536654.98280181,81782.09815035,11563.97010433,37419.69739894,2667420.74845542,,,,
171.41,2529955.63461029,84899.21088683,12010.92042163,38939.64611877,2665805.41203753,,,,
172.02,2523011.88715685,88120.20789651,12473.27864113,40518.34123422,2664123.71492870,,,,
172.63,2515816.48046825,91447.34132011,12951.42357784,42157.80793394,2662373.05330015,,,,
173.24,2508362.07203955,94882.80945209,13445.73048709,43860.12119743,2660550.73317616,,,,
173.85,2500641.24769566,98428.74580516,13956.56970444,45627.40532707,2658653.96853233,,,,
174.46,2492646.53359368,102087.20741645,14484.30517699,47461.83330156,2656679.87948868,,,,
175.07,2484370.40941797,105860.16238007,15029.29288213,49365.62593616,2654625.49061633,,,,
175.68,2475805.32281771,109749.47659479,15591.87913046,51341.05083523,2652487.72937818,,,,
176.29,2466943.70513444,113756.89972027,16172.39874974,53390.42112158,2650263.42472604,,,,
176.90,2457777.98846337,117884.05034036,16771.17314756,55516.09392725,2647949.30587855,,,,
177.51,2448300.62408812,122132.40033803,17388.50825062,57720.46862951,2645542.00130628,,,,
178.12,2438504.10232373,126503.25849311,18024.69231960,60005.98481615,2643038.03795260,,,,
178.73,2428380.97379663,130997.75332183,18679.99363910,62375.11996346,2640433.84072101,,,,
179.34,2417923.87218333,135616.81518506,19354.65808319,64830.38681057,2637725.73226215,,,,
179.95,2407125.53842190,140361.15770173,20048.90655812,67374.33041393,2634909.93309568,,,,
180.56,2395978.84640092,145231.25851361,20762.93232478,70009.52486550,2631982.56210480,,,,
181.17,2384476.83012075,150227.33945867,21496.89820493,72738.56965913,2628939.63744348,,,,
181.78,2372612.71231055,155349.34622185,22250.93367656,75564.08568971,2625777.07789867,,,,
182.39,2360379.93447197,160596.92754440,23025.13186515,78488.71087048,2622490.70475200,,,,
183.00,2347772.18830710,165969.41408629,23819.54643945,81515.09535493,2619076.24418776,,,,
183.61,2334783.44847309,171465.79704984,24634.18842210,84645.89635069,2615529.33029572,,,,
184.22,2321408.00659042,177084.70668729,25469.02292720,87883.77251419,2611845.50871909,,,,
184.83,2307640.50641452,182824.39082950,26323.96583921,91231.37791651,2608020.24099974,,,,
185.44,2293475.98006281,188682.69358856,27198.88044940,94691.35557273,2604048.90967350,,,,
186.05,2278909.88517006,194657.03440182,28093.57406852,98266.33052916,2599926.82416957,,,,
186.66,2263938.14282604,200744.38760037,29007.79463637,101958.90250537,2595649.22756815,,,,
187.27,2248557.17612847,206941.26269958,29941.22735157,105771.63809055,2591211.30427016,,,,
187.88,2232763.94916465,213243.68562377,30893.49134697,109707.06249692,2586608.18863231,,,,
188.49,2216556.00621378,219647.18109041,31864.13643844,113767.65087620,2581834.97461883,,,,
189.10,2199931.51094162,226146.75639154,32852.63997737,117955.81920863,2576886.72651916,,,,
189.71,2182889.28533910,232736.88682088,33858.40383898,122273.91477842,2571758.49077738,,,,
190.32,2165428.84813654,239411.50300410,34880.75158109,126724.20625326,2566445.30897499,,,,
190.93,2147550.45240695,246163.98039645,35918.92580951,131308.87339042,2560942.23200333,,,,
